127.0.0.1 - - [23/Aug/2023:10:06:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:07:00 +0530] "GET /JSP/division.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:07:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:07:13 +0530] "GET /JSP/division.jsp?firstnum=10&secondnum=0 HTTP/1.1" 500 229
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:27:21 +0530] "GET /JSP/taglibcore.jsp HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:51 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:53 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:54 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:54 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:55 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:55 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:55 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:31:56 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:40:10 +0530] "GET /JSP/taglibcoreif1.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:40:48 +0530] "GET /JSP/taglibcoreifelse.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:40:49 +0530] "GET /JSP/taglibcoreif1.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:41:19 +0530] "GET /JSP/taglibcoreif1.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:53:38 +0530] "GET /JSP/taglibcoreif1.jsp HTTP/1.1" 200 26093
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:00:45 +0530] "GET /JSP/taglibcoreif1.jsp HTTP/1.1" 200 26152
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:18:36 +0530] "GET /JSP/Forward.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:18:44 +0530] "GET /JSP/Forward.jsp?uname=Arsh HTTP/1.1" 500 2730
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:19:31 +0530] "GET /JSP/Forward.jsp?uname=Arsh HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:21:58 +0530] "GET /JSP/Forward.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:22:04 +0530] "GET /JSP/Forward.jsp?uname=Noor HTTP/1.1" 500 2456
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:24:16 +0530] "GET /JSP/Forward.jsp?uname=Noor HTTP/1.1" 200 160
